Name,State,Lat,Lon,json
McArthur River Mine,Northern Territory,-16.4423,136.076,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94239.json
Moomba Airport,South Australia,-28.0997,140.1956,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95481.json
Moorabbin Airport,Victoria,-37.98,145.0962,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94870.json
Moranbah Airport,Queensland,-22.0644,148.0758,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94397.json
Mount Barker,Western Australia,-34.625,117.6361,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94630.json
Mount Barker,Western Australia,-35.0638,138.8506,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94630.json
Mount Lofty,South Australia,-34.9784,138.7088,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95678.json
Murchison,Western Australia,-26.8956,115.9567,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94422.json
Murganella Airstrip,Northern Territory,-11.5485,132.9268,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94109.json
Naracoorte,South Australia,-36.9564,140.7402,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94820.json
Narrandera Airport,New South Wales,-34.705,146.514,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95706.json
Newcastle University,New South Wales,-32.8905,151.707,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94781.json
North Island,Western Australia,-28.3008,113.5936,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94405.json
Northam,Western Australia,-31.6508,116.6586,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94621.json
Nullarbor,South Australia,-31.4492,130.8976,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94651.json
Onslow Airport,Western Australia,-21.6689,115.1092,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95305.json
Oodnadatta,South Australia,-27.5498,135.4484,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94476.json
Paraburdoo,Western Australia,-23.2028,117.6692,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94316.json
Pemberton,Western Australia,-34.4478,116.0433,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95613.json
Perth Airport,Western Australia,-31.9275,115.9764,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94610.json
Pindari Dam,New South Wales,-29.3899,151.2448,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94544.json
Price,South Australia,-34.2971,138.0014,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95669.json
Ravensthorpe,Western Australia,-33.5803,120.0458,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94636.json
Redcliffe,Queensland,-27.2169,153.0922,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.95591.json
Rhyll,Victoria,-38.4612,145.3101,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94892.json
Rottnest Island,Western Australia,-32.0069,115.5022,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94602.json
Scamander,Tasmania,-41.4639,148.2644,http://www.bom.gov.au/fwo/IDT60801/IDT60801.95983.json
Shark Bay Airport,Western Australia,-25.8925,113.5772,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95402.json
Sheoaks,Victoria,-37.9075,144.1303,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94863.json
South Channel Island,Victoria,-38.3065,144.8016,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94853.json
Stawell,Victoria,-37.1,142.8,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94836.json
Stawell,Victoria,-37.0717,142.7908,http://www.bom.gov.au/fwo/IDV60801/IDV60801.94836.json
Stenhouse Bay,South Australia,-35.2795,136.9392,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95806.json
Strathbogie,Victoria,-36.8472,145.7308,http://www.bom.gov.au/fwo/IDV60801/IDV60801.95843.json
Streaky Bay,South Australia,-32.7963,134.2116,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94654.json
Swan Island,Tasmania,-40.7292,148.125,http://www.bom.gov.au/fwo/IDT60801/IDT60801.95985.json
Tamworth Airport,New South Wales,-31.0867,150.8467,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95762.json
Tarcoola,South Australia,-30.7111,134.5694,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94655.json
Thredbo Village,New South Wales,-36.5031,148.3038,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95908.json
Tibooburra Airport,New South Wales,-29.4448,142.0567,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95485.json
Timber Creek,Northern Territory,-15.6614,130.4808,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94220.json
Troughton Island,Northern Territory,-13.7542,126.1485,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94102.json
Truscott,Western Australia,-14.09,126.3867,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95101.json
Ulladulla,New South Wales,-35.3667,150.4833,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94938.json
Warra,Tasmania,-43.0609,146.704,http://www.bom.gov.au/fwo/IDT60801/IDT60801.95962.json
Warwick,Queensland,-28.2061,152.1003,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94555.json
Wattamolla,New South Wales,-34.7333,150.6167,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95752.json
West Roebuck,Western Australia,-17.8964,122.3122,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95204.json
Westmere,Victoria,-37.7067,142.9378,http://www.bom.gov.au/fwo/IDV60801/IDV60801.95840.json
White Cliffs AWS,New South Wales,-30.8517,143.0742,http://www.bom.gov.au/fwo/IDN60801/IDN60801.95699.json
Williamson,Queensland,-22.4703,150.1786,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.95370.json
Willis Island,Queensland,-16.2878,149.9652,http://www.bom.gov.au/fwo/IDQ60801/IDQ60801.94299.json
Witchcliffe,Western Australia,-34.0281,115.1042,http://www.bom.gov.au/fwo/IDW60801/IDW60801.95641.json
Wollogorang,Northern Territory,-17.2122,137.9462,http://www.bom.gov.au/fwo/IDD60801/IDD60801.94258.json
Wyndham,Western Australia,-15.4872,128.1247,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94214.json
Yarram Airport,Victoria,-38.5647,146.7479,http://www.bom.gov.au/fwo/IDV60801/IDV60801.95890.json
Yarrawonga,New South Wales,-36.0294,146.0306,http://www.bom.gov.au/fwo/IDN60801/IDN60801.94862.json
Yongala,South Australia,-33.0287,138.7489,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94679.json
York,Western Australia,-31.8997,116.765,http://www.bom.gov.au/fwo/IDW60801/IDW60801.94623.json
Yunta,South Australia,-32.5819,139.5611,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94684.json
